cell,sample,sample_type,O1,toxR,ctxA
plate1-E2,FP01,BI,8.43654642,10.91,
plate0-H1,FP01,FP_IS_TCBS,15.12706558,20.667,
plate0-F1,FP01,FP_WS_APW,13.17527805,18.824,
plate1-A1,FP01,QI,14.93576359,16.203,18.173
plate0-G1,FP01,RDT_IS_TCBS,17.5253362,19.677,
plate0-E1,FP01,RDT_WS_APW,15.58204551,19.424,
plate0-A1,FP01,WS_FP,18.95708786,23.012,
plate0-B1,FP01,WS_Q,24.15241079,27.469,30.961
plate0-C1,FP01,WS_RDT,29.79648859,35.356,
plate2-A1,FP01,WS_RDT,29.79648859,35.356,
plate0-D1,FP01,WS_SW,24.12493638,29.862,
,FP02,BI,,12.876,
,FP02,FP_IS_TCBS,,19.485,
,FP02,FP_WS_APW,,18.847,
,FP02,QI,,15.582,17.462
,FP02,RDT_IS_TCBS,,18.541,18.697
,FP02,RDT_WS_APW,,,
,FP02,WS_FP,,19.237,
,FP02,WS_Q,,28.857,33.642
,FP02,WS_RDT,,28.408,
,FP02,WS_SW,,31.592,
plate1-F2,FP03,BI,9.713676035,12.52,
plate0-H2,FP03,FP_IS_TCBS,19.2060086,24.39,
plate0-F2,FP03,FP_WS_APW,13.26397021,18.308,
plate1-B1,FP03,QI,18.98355597,20.491,22.45
plate0-G2,FP03,RDT_IS_TCBS,15.59002221,17.913,
plate0-E2,FP03,RDT_WS_APW,14.07714551,16.898,
plate0-A2,FP03,WS_FP,14.38631358,17.619,
plate0-B2,FP03,WS_Q,20.69704469,25.144,29.921
plate0-C2,FP03,WS_RDT,28.44630056,31.077,
plate2-B1,FP03,WS_RDT,28.44630056,31.077,
plate0-D2,FP03,WS_SW,23.89221247,31.818,
plate1-H4,FP04,BI,11.51380135,11.675,
plate1-F5,FP04,FP_IS_TCBS,15.49019237,19.779,
plate1-B7,FP04,FP_WS_APW,19.75968041,24.713,
plate1-B4,FP04,QI,18.71097208,19.555,21.543
plate1-D6,FP04,RDT_IS_TCBS,20.79733404,22.296,
plate1-H7,FP04,RDT_WS_APW,19.23834775,22.305,
plate1-A11,FP04,WS_FP,24.91689073,27.953,
plate1-G8,FP04,WS_Q,28.0915902,28.834,32.851
plate1-E9,FP04,WS_RDT,31.12951923,30.121,
plate1-C10,FP04,WS_SW,25.59705103,33.852,
plate1-G2,FP05,BI,9.867413006,11.613,
plate0-H3,FP05,FP_IS_TCBS,14.77580278,19.765,
plate0-F3,FP05,FP_WS_APW,15.65840749,20.634,
plate1-C1,FP05,QI,15.53420082,17.535,19.514
plate0-G3,FP05,RDT_IS_TCBS,16.89456611,19.636,
