sequence_file,lineage,confidence,classification_notes,cell,reads,correct
intermediates/subsamples/plate0-A10.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A10,100000,0
intermediates/subsamples/plate0-A10.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A10,250000,0
intermediates/subsamples/plate0-A10.500000.0.bam,UNDEFINED,0.5855421195842971,Usher placements: T12(58/75) UNDEFINED(17/75),plate0-A10,500000,0
intermediates/subsamples/plate0-A10.1000000.0.bam,T12,1.0,Usher placements: T12(29/29),plate0-A10,1000000,1
intermediates/subsamples/plate0-A10.2500000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-A10,2500000,1
intermediates/subsamples/plate0-A10.5000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-A10,5000000,1
intermediates/subsamples/plate0-A11.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A11,100000,0
intermediates/subsamples/plate0-A11.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A11,250000,0
intermediates/subsamples/plate0-A11.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A11,500000,0
intermediates/subsamples/plate0-A11.1000000.0.bam,UNDEFINED,0.5855421195842971,Usher placements: T12(58/75) UNDEFINED(17/75),plate0-A11,1000000,0
intermediates/subsamples/plate0-A11.2500000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-A11,2500000,1
intermediates/subsamples/plate0-A11.5000000.0.bam,T12,1.0,Usher placements: T12(6/6),plate0-A11,5000000,1
intermediates/subsamples/plate0-A12.100000.0.bam,UNDEFINED,0.5855421195842971,Usher placements: T12(58/75) UNDEFINED(17/75),plate0-A12,100000,0
intermediates/subsamples/plate0-A12.250000.0.bam,T12,1.0,Usher placements: T12(39/39),plate0-A12,250000,1
