name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,cell
Homo sapiens,9606,S,6644552,34093,6678645,0.85101,plate0-A10
Vibrio cholerae,666,S,481143,353328,834471,0.10633,plate0-A10
Vibrio metoecus,1481663,S,278,43,321,4e-05,plate0-A10
Vibrio mimicus,674,S,186,17,203,3e-05,plate0-A10
Vibrio paracholerae,650003,S,132,170,302,4e-05,plate0-A10
Vibrio sp. SCSIO 43140,2819100,S,26,3,29,0.0,plate0-A10
Vibrio sp. gvc,2993714,S,17,35,52,1e-05,plate0-A10
Vibrio tarriae,2014742,S,81,37,118,2e-05,plate0-A10
Vibrio anguillarum,55601,S,57,34,91,1e-05,plate0-A10
Vibrio furnissii,29494,S,50,4,54,1e-05,plate0-A10
Vibrio parahaemolyticus,670,S,16,8,24,0.0,plate0-A10
Vibrio fortis,212667,S,43,6,49,1e-05,plate0-A10
Vibrio cincinnatiensis,675,S,33,1,34,0.0,plate0-A10
Vibrio qinghaiensis,2025808,S,32,10,42,1e-05,plate0-A10
Vibrio scophthalmi,45658,S,28,0,28,0.0,plate0-A10
Vibrio metschnikovii,28172,S,23,1,24,0.0,plate0-A10
Vibrio vulnificus,672,S,19,6,25,0.0,plate0-A10
Vibrio fluvialis,676,S,15,7,22,0.0,plate0-A10
Vibrio pelagius,28169,S,11,0,11,0.0,plate0-A10
Vibrio navarrensis,29495,S,10,1,11,0.0,plate0-A10
Klebsiella variicola,244366,S,536,556,1092,0.00014,plate0-A10
Klebsiella pneumoniae,573,S,64,365,429,5e-05,plate0-A10
Escherichia coli,562,S,296,806,1102,0.00014,plate0-A10
Shigella flexneri,623,S,210,2195,2405,0.00031,plate0-A10
Enterobacter hormaechei,158836,S,116,848,964,0.00012,plate0-A10
Salmonella enterica,28901,S,56,1515,1571,0.0002,plate0-A10
Scandinavium goeteborgense,1851514,S,13,0,13,0.0,plate0-A10
Proteus mirabilis,584,S,85,10,95,1e-05,plate0-A10
Morganella morganii,582,S,16,0,16,0.0,plate0-A10
Pectobacterium parmentieri,1905730,S,63,1,64,1e-05,plate0-A10
Serratia rubidaea,61652,S,16,1,17,0.0,plate0-A10
Pseudomonas marginalis,298,S,692,158,850,0.00011,plate0-A10
Pseudomonas fluorescens,294,S,338,35,373,5e-05,plate0-A10
Pseudomonas sp. CIP-10,2892442,S,66,108,174,2e-05,plate0-A10
Pseudomonas sp. MYb327,2745230,S,12,1,13,0.0,plate0-A10
Pseudomonas aeruginosa,287,S,21,18,39,0.0,plate0-A10
Pseudomonas hamedanensis,2745504,S,12,0,12,0.0,plate0-A10
Azorhizophilus paspali,69963,S,13,0,13,0.0,plate0-A10
Stenotrophomonas maltophilia,40324,S,481,313,794,0.0001,plate0-A10
Xanthomonas citri,346,S,325,475,800,0.0001,plate0-A10
Xanthomonas sacchari,56458,S,18,2,20,0.0,plate0-A10
Lysobacter soli,453783,S,14,5,19,0.0,plate0-A10
Lysobacter antibioticus,84531,S,12,14,26,0.0,plate0-A10
Agrilutibacter terrestris,2865112,S,15,0,15,0.0,plate0-A10
Tahibacter sp. UC22_41,3350178,S,24,0,24,0.0,plate0-A10
Haemophilus parainfluenzae,729,S,457,43,500,6e-05,plate0-A10
