cell,classified,unclassified,R2_bacteria,R2_eurkaryote,R2_archaea,O_vibrionales,S_homo-sapiens
plate0-A10,7856494,1374603,1174163,6644553,378,795560,6644552
plate0-A11,7424444,742030,595588,6795160,145,369011,6795158
plate0-A12,945515,589002,895004,38918,56,601941,38918
plate0-A1,1341945,251116,1241134,67036,43,473624,67036
plate0-A2,9759284,386433,1955188,7765475,117,1800645,7765475
plate0-A3,9830246,420698,164261,9622625,120,42107,9622625
plate0-A4,8742394,473115,866675,7835868,111,603517,7835867
plate0-A5,6816010,1525102,1586248,5187890,229,654578,5187889
plate0-A6,7690987,502123,7594510,65740,185,6929494,65740
plate0-A7,5807337,347586,825342,4917840,110,81103,4917840
plate0-A8,7446344,325082,2364147,5037908,75,1670409,5037908
plate0-A9,6393952,346895,5911253,454570,213,5602649,454569
plate0-B10,8816461,4268254,5963675,2718336,6988,2967776,2718335
plate0-B11,20234877,1340360,4153977,15724240,622,2527367,15724239
plate0-B1,2164175,217780,1901391,203197,288,443470,203197
plate0-B2,7443448,3874780,3373007,3739422,0,2554184,3739422
plate0-B3,15735275,647032,2089191,13357252,952,433659,13357250
plate0-B4,13179873,531957,5848888,7022688,1059,2493359,7022687
plate0-B5,5874581,5024114,2851156,2876988,1657,603370,2876988
plate0-B6,8226086,744051,7070385,1056237,1504,6051995,1056237
plate0-B7,8349124,1452185,3329678,4808234,2754,69520,4808234
plate0-B8,10950918,1634112,9535542,1210484,0,3735956,0
plate0-B9,6011695,820002,4529317,1386887,1636,3784970,1386885
plate0-C10,199119,239830,171116,26980,191,1443,26980
plate0-C11,434090,235566,280239,150139,42,44261,150139
plate0-C12,44867,144535,36616,7968,0,62,7968
plate0-C1,29488,103029,22897,5460,2,13,5460
plate0-C2,58245,100060,52576,5445,3,46,5445
plate0-C3,2428366,304950,541377,1871327,26,25036,1871327
plate0-C4,131740,233568,115538,15744,4,1138,15744
plate0-C5,188908,308478,116840,59154,52,3694,59154
plate0-C6,990258,366200,961975,23814,438,53000,23814
plate0-C7,189518,157965,177919,9480,2,574,9480
plate0-C8,68679,19644,65454,2065,2,320,2065
plate0-C9,30116,105000,24853,5085,1,128,5085
plate0-D11,14445668,1360279,2343662,11978179,969,1867592,11978177
plate0-D1,233855,191421,149336,75511,40,37252,75511
plate0-D2,129798,127887,56608,69039,63,29754,69039
plate0-D3,19167239,753758,2038357,16926004,1496,520377,16926003
plate0-D4,6254062,1568841,2118498,3996487,958,1306907,3996485
plate0-D5,604477,718834,220105,348732,225,25550,348732
plate0-D6,627535,300190,558522,56242,96,485035,56242
plate0-D7,5681815,1131646,1710203,3795165,2618,37996,3795165
plate0-D8,246125,202989,186119,52251,62,26004,52251
plate0-D9,242694,205189,162355,75885,69,122939,75885
plate0-E10,7621433,810479,7452412,35269,155,1389909,35269
plate0-E11,7441440,416333,7162767,198655,243,483053,198655
