chrom,pos,QI,BI,RDT_IS_TCBS,FP_IS_TCBS
AE003852,613009,False,False,,
AE003852,890325,False,,,
AE003852,2332286,False,True,False,False
AE003852,2681482,False,,,
AE003852,2787433,False,,,
AE003853,343095,False,True,False,False
AE003853,368767,False,False,False,False
AE003853,368771,False,True,False,True
AE003853,414462,True,True,True,True
AE003852,135874,,False,False,False
AE003852,135877,,False,False,False
AE003852,150923,,True,False,False
AE003852,274200,,False,,
AE003852,274203,,False,,
AE003852,427292,,False,,
AE003852,544446,,False,,
AE003852,598322,,False,False,False
AE003852,598323,,False,False,False
AE003852,637075,,False,,False
AE003852,858666,,True,False,False
AE003852,1682941,,False,,
AE003852,1782519,,False,,
AE003852,1822876,,False,,
AE003852,2005902,,False,,False
AE003852,2105399,,False,,
AE003852,2132872,,False,,False
AE003852,2153332,,False,False,
AE003852,2483263,,False,,
AE003852,2581337,,False,,
AE003852,2720743,,False,False,False
AE003852,2839146,,False,,
AE003852,2906774,,False,,
AE003852,2924816,,False,,
AE003853,201653,,False,False,
AE003853,215732,,False,False,False
AE003853,215733,,False,False,False
AE003853,246527,,False,,
AE003853,367423,,False,,False
AE003853,367456,,False,,False
AE003853,367472,,False,,
AE003853,368736,,False,False,False
AE003853,368738,,False,False,False
AE003853,368747,,False,False,False
AE003853,368749,,False,False,False
AE003853,639691,,False,,
AE003853,904130,,True,False,True
AE003853,904135,,True,True,True
AE003853,993027,,True,False,True
AE003853,993028,,True,False,True
AE003853,1047776,,False,False,
AE003853,1054491,,False,,
AE003852,5414,,,False,
AE003852,42082,,,False,
AE003852,514677,,,False,
AE003852,519264,,,False,False
AE003852,519265,,,False,False
AE003852,860107,,,False,False
AE003852,1106931,,,False,
AE003852,1198270,,,False,False
AE003852,1220300,,,False,
AE003852,1225641,,,False,False
AE003852,1374820,,,False,
AE003852,1500898,,,False,False
AE003852,1873866,,,False,
AE003852,1873869,,,False,
AE003852,1906330,,,False,False
AE003852,2017029,,,False,False
AE003852,2110283,,,False,
AE003852,2153327,,,False,
AE003852,2203923,,,False,
AE003852,2438215,,,False,False
AE003852,2669958,,,False,
AE003852,2676302,,,False,
AE003852,2871927,,,False,
AE003852,2900380,,,False,
AE003853,48345,,,False,
AE003853,50040,,,False,False
AE003853,50045,,,False,False
AE003853,97460,,,False,
AE003853,97463,,,False,
AE003853,743264,,,False,
AE003853,856018,,,False,
AE003853,917796,,,False,
AE003852,1149903,,,,False
AE003852,1225640,,,,False
AE003852,1567151,,,,False
AE003852,1809138,,,,False
AE003852,2353344,,,,False
AE003853,422958,,,,False
AE003853,439410,,,,False
AE003853,569058,,,,False
AE003853,918410,,,,False
